RK,NAME,KEEP?,POS,,TEAM,AGE,SALARY,FP,/GP,VORP,/$,ADP,DIFF.,,ADJ,GP,TOI,G,A,PTS,SOG,PPG,PPP,SHG,SHP,BLK,HIT,+/-,PIM,GWG,FOW,FOL,FO%,,GP,W,L,OTL,SO,SV,GA,SV%,GAA
295,Brett Pesce,N,D,132,N.J,31,$5.5,234.6,3.0,-88.2,-13.2,—,N/A,, ,79,21.2,4,17,21,117,0,0,0,1,140,38,3,31,1,0,0,0%,,,,,,,,,,
380,Brian Dumoulin,N,D,167,L.A,34,$4.0,196.1,2.4,-126.7,-19.0,—,N/A,, ,81,16.7,3,14,17,64,0,0,0,0,97,73,0,18,0,0,0,0%,,,,,,,,,,
185,Brock Boeser,N,RW,42,VAN,29,$7.3,477.0,6.0,-21.1,-3.2,—,N/A,,+,80,18.1,29,33,62,178,10,22,0,0,35,71,0,22,5,21,32,40%,,,,,,,,,,
141,Brock Faber,N,D,53,MIN,23,$8.5,337.6,4.2,14.8,2.2,130.0,-11.0,,-,81,25.3,9,28,38,132,2,10,0,1,132,51,0,31,2,0,0,0%,,,,,,,,,,
369,Brock Nelson,N,C,70,COL,34,$7.5,390.0,4.8,-122.7,-18.4,90.0,-279.0,, ,82,17.1,24,27,52,187,3,7,2,2,43,39,7,24,4,504,532,49%,,,,,,,,,,
175,Bryan Rust,N,RW,39,PIT,33,$5.1,485.4,6.3,-12.7,-1.9,94.0,-81.0,,-,77,19.9,29,34,63,213,5,15,0,0,58,68,-5,28,3,7,9,44%,,,,,,,,,,
1,Cale Makar,N,D,1,COL,27,$9.0,683.6,8.7,360.7,54.1,5.0,4.0,,+,79,25.8,25,66,91,241,9,36,1,2,134,54,9,25,4,0,0,0%,,,,,,,,,,
627,Calle Jarnkrok,N,C,189,TOR,34,$2.1,177.6,2.7,-335.1,-50.2,—,N/A,, ,66,11.7,7,12,19,65,0,0,0,1,24,67,4,16,1,29,39,43%,,,,,,,,,,
151,Cam Fowler,N,D,58,STL,34,$6.5,327.7,4.1,4.8,0.7,129.0,-22.0,, ,79,22.4,8,33,41,113,3,14,0,0,108,38,0,23,1,0,0,0%,,,,,,,,,,
230,Cam Talbot,N,G,32,DET,38,$2.5,157.7,4.1,-47.4,-7.1,—,N/A,, ,,,,,,,,,,,,,,,,,,,,38,18,15,5,2,"1,023",106,0.906,2.80
266,Cam York,N,D,122,PHI,25,$5.2,257.4,3.4,-65.5,-9.8,—,N/A,, ,76,21.0,6,17,24,85,0,1,0,1,147,78,-4,35,1,0,0,0%,,,,,,,,,,
512,Carl Grundstrom,N,RW,126,S.J,28,$1.8,280.9,4.0,-217.2,-32.6,—,N/A,, ,71,11.0,8,9,16,117,0,0,0,0,26,194,-7,23,1,4,7,36%,,,,,,,,,,
160,Carter Verhaeghe,N,LW,37,FLA,30,$7.0,479.7,5.9,-1.9,-0.3,113.0,-47.0,, ,81,17.2,26,32,58,234,6,14,0,0,28,80,7,41,4,20,28,42%,,,,,,,,,,
404,Casey Cizikas,N,"C,LW",90,NYI,35,$2.5,345.9,4.3,-135.8,-20.3,—,N/A,, ,80,11.9,11,20,31,127,0,0,1,1,61,162,-4,30,2,321,272,54%,,,,,,,,,,
364,Casey DeSmith,N,G,56,DAL,34,$1.0,84.9,4.2,-120.2,-18.0,—,N/A,, ,,,,,,,,,,,,,,,,,,,,20,11,7,2,1,523,57,0.902,2.83
471,Casey Mittelstadt,N,C,100,BOS,27,$5.8,325.3,4.0,-187.4,-28.1,—,N/A,, ,82,16.7,16,33,49,119,4,13,0,0,32,36,-5,25,2,444,530,46%,,,,,,,,,,
456,Chandler Stephenson,N,C,95,SEA,31,$6.3,336.3,4.2,-176.4,-26.4,—,N/A,, ,80,18.8,14,35,49,93,2,12,2,3,50,44,-7,23,2,732,637,53%,,,,,,,,,,
499,Charlie Coyle,N,"C,RW",121,CBJ,34,$5.3,289.0,3.5,-209.1,-31.3,—,N/A,, ,82,14.7,13,19,32,102,0,1,0,2,55,102,-2,26,2,391,382,51%,,,,,,,,,,
284,Charlie Lindgren,N,G,37,WSH,31,$3.0,124.8,4.2,-80.2,-12.0,—,N/A,, ,,,,,,,,,,,,,,,,,,,,30,15,11,4,2,802,86,0.903,2.86
60,Charlie McAvoy,N,D,24,BOS,28,$9.5,405.7,5.5,82.9,12.4,111.0,51.0,, ,74,23.1,9,32,41,129,2,10,0,1,131,126,-1,58,1,0,0,0%,,,,,,,,,,
254,Chris Kreider,N,LW,55,ANA,34,$6.5,422.7,5.3,-58.9,-8.8,170.0,-84.0,, ,79,18.3,27,20,47,199,7,12,3,4,31,102,-3,29,4,35,52,40%,,,,,,,,,,
335,Chris Tanev,N,D,154,TOR,36,$4.5,217.8,2.8,-105.0,-15.7,—,N/A,, ,78,19.7,2,16,18,60,0,0,0,1,183,46,6,28,0,0,0,0%,,,,,,,,,,
551,Christian Dvorak,N,C,138,PHI,30,$5.4,258.5,3.5,-254.2,-38.1,—,N/A,, ,73,15.8,12,19,30,102,2,5,0,0,60,47,-4,16,2,533,436,55%,,,,,,,,,,
382,Claude Giroux,N,"LW,RW",83,OTT,38,$2.0,354.5,4.3,-127.1,-19.1,—,N/A,, ,82,16.7,15,28,43,143,2,10,1,1,36,57,1,24,3,559,381,59%,,,,,,,,,,
51,Clayton Keller,N,"LW,RW",16,UTA,27,$7.2,571.1,7.0,89.5,13.4,44.0,-7.0,, ,81,19.1,32,53,85,220,9,32,0,0,32,20,0,33,5,15,25,38%,,,,,,,,,,
296,Cody Ceci,N,D,133,L.A,32,$4.5,234.5,2.9,-88.3,-13.2,—,N/A,, ,82,18.5,3,17,20,85,0,0,0,0,121,79,0,22,1,0,0,0%,,,,,,,,,,
572,Cody Glass,N,"C,RW",157,N.J,26,$2.5,225.4,3.1,-272.7,-40.9,—,N/A,, ,72,13.3,9,16,25,99,0,1,0,0,42,64,3,22,1,261,266,50%,,,,,,,,,,
115,Cole Caufield,N,"LW,RW",30,MTL,25,$7.9,516.2,6.6,34.6,5.2,61.0,-54.0,,+,78,18.0,33,34,67,243,9,18,0,0,28,59,3,17,5,5,8,36%,,,,,,,,,,
559,Cole Koepke,N,LW,149,WPG,27,$1.0,222.9,3.5,-258.8,-38.8,—,N/A,, ,64,10.9,8,7,15,71,0,0,0,0,24,143,3,15,1,0,2,0%,,,,,,,,,,
228,Cole Perfetti,N,"C,LW,RW",50,WPG,24,$3.3,435.7,5.6,-46.0,-6.9,174.0,-54.0,, ,77,16.8,22,34,57,161,7,20,0,0,40,64,5,24,4,24,49,33%,,,,,,,,,,
489,Cole Sillinger,N,"C,RW",114,CBJ,22,$2.3,296.7,3.9,-201.4,-30.2,—,N/A,, ,77,15.1,13,21,34,133,2,3,1,1,47,90,-4,32,2,342,403,46%,,,,,,,,,,
513,Cole Smith,N,LW,132,NSH,30,$1.0,264.1,3.4,-217.5,-32.6,—,N/A,, ,79,13.4,6,11,17,85,0,0,0,2,34,185,-5,53,1,5,11,33%,,,,,,,,,,
621,Colin Blackwell,N,C,184,DAL,33,$0.8,187.8,2.7,-324.9,-48.7,—,N/A,, ,71,11.5,6,9,15,76,0,0,1,2,29,94,4,16,1,130,140,48%,,,,,,,,,,
623,Collin Graf,N,RW,171,S.J,23,$0.9,168.2,3.0,-329.9,-49.5,—,N/A,, ,56,15.5,9,11,19,69,1,3,2,2,30,48,-5,17,1,5,14,28%,,,,,,,,,,
154,Colton Parayko,N,D,60,STL,32,$6.5,322.8,4.1,0.0,0.0,127.0,-27.0,, ,79,21.7,9,18,27,135,0,1,0,1,163,94,1,22,1,0,0,0%,,,,,,,,,,
