RK,NAME,KEEP?,POS,,TEAM,AGE,SALARY,FP,/GP,VORP,/$,ADP,DIFF.,,ADJ,GP,TOI,G,A,PTS,SOG,PPG,PPP,SHG,SHP,BLK,HIT,+/-,PIM,GWG,FOW,FOL,FO%,,GP,W,L,OTL,SO,SV,GA,SV%,GAA
82,Logan Thompson,,G,3,WSH,29,$5.9,476.0,8.7,155.5,12.4,28.6,-53.4,, ,,,,,,,,,,,,,,,,,,,,55,32,17,6,4,"1,459",146,0.909,2.66
83,Tomas Hertl,Y,"C,LW",29,VGK,32,$6.8,563.9,7.0,152.8,12.2,145.3,62.3,, ,80,17.2,28,33,60,194,14,26,0,0,47,104,3,26,5,689,515,57%,,,,,,,,,,
84,Ryan O'Reilly,Y,C,43,NSH,35,$4.5,505.2,6.1,149.6,12.0,144.4,60.4,, ,83,20.4,23,42,65,167,7,19,1,2,69,24,-1,26,3,792,646,55%,,,,,,,,,,
85,Quinton Byfield,N,C,44,L.A,24,$6.3,505.1,6.1,149.5,12.0,132.6,47.6,, ,83,20.7,28,36,63,202,6,16,0,1,43,73,1,48,4,476,580,45%,,,,,,,,,,
86,MacKenzie Weegar,N,D,16,UTA,32,$6.3,537.5,6.4,146.5,11.7,110.3,24.3,, ,83,22.5,6,26,33,153,1,8,0,1,180,170,-1,49,1,0,0,0%,,,,,,,,,,
87,Roman Josi,Y,D,17,NSH,36,$9.1,534.2,6.9,143.2,11.5,79.9,-7.1,, ,78,24.9,12,44,56,203,4,23,0,0,121,41,-3,37,2,0,0,0%,,,,,,,,,,
88,Brandt Clarke,N,D,18,L.A,23,$7.4,534.0,6.5,143.0,11.4,104.6,16.6,,+,82,21.1,10,39,49,178,2,16,0,0,172,44,3,56,2,0,0,0%,,,,,,,,,,
89,Josh Morrissey,Y,D,19,WPG,31,$6.3,533.3,6.4,142.3,11.4,86.6,-2.4,, ,83,24.6,11,48,59,166,2,19,0,0,123,49,5,35,2,0,0,0%,,,,,,,,,,
90,Jet Greaves,,G,4,CBJ,25,$5.0,460.0,8.4,139.4,11.2,123.9,33.9,, ,,,,,,,,,,,,,,,,,,,,55,29,19,6,4,"1,471",149,0.908,2.70
91,Nikolaj Ehlers,Y,LW,34,CAR,30,$8.5,548.1,6.7,137.0,11.0,120.3,29.3,, ,82,17.2,28,46,73,220,8,26,0,0,31,36,9,24,5,9,20,31%,,,,,,,,,,
92,Noah Dobson,Y,D,20,MTL,26,$9.5,527.9,6.4,136.9,11.0,96.3,4.3,, ,82,23.1,11,37,47,171,1,8,0,1,174,67,3,37,2,0,0,0%,,,,,,,,,,
93,Anton Frondell,Y,C,46,CHI,19,$1.0,492.2,6.3,136.6,10.9,140.4,47.4,,-,78,18.4,24,39,62,214,5,19,0,0,61,66,-6,33,3,218,503,30%,,,,,,,,,,
94,Bryan Rust,Y,RW,32,PIT,34,$5.1,553.9,7.0,135.8,10.9,123.6,29.6,, ,79,20.0,30,37,67,207,7,22,1,1,70,51,0,28,4,5,11,30%,,,,,,,,,,
95,Alex Tuch,N,"LW,RW",33,WSH,30,$10.5,553.4,6.7,135.3,10.8,101.3,6.3,, ,83,18.9,30,32,61,196,3,7,3,4,96,83,6,46,4,50,66,43%,,,,,,,,,,
96,Igor Shesterkin,,G,5,NYR,30,$11.5,454.4,8.3,133.9,10.7,39.6,-56.4,, ,,,,,,,,,,,,,,,,,,,,55,28,20,7,4,"1,475",149,0.908,2.70
97,Drake Batherson,Y,"LW,RW",34,OTT,28,$5.0,550.6,6.6,132.5,10.6,81.1,-15.9,, ,83,16.7,28,38,66,172,11,27,0,0,26,122,2,31,5,17,17,51%,,,,,,,,,,
98,Beckett Sennecke,Y,RW,35,ANA,20,$1.0,550.1,6.6,131.9,10.6,103.0,5.0,,+,83,17.9,27,44,71,212,3,18,0,0,27,96,-3,55,4,3,2,60%,,,,,,,,,,
99,Morgan Geekie,Y,"C,LW,RW",36,BOS,28,$5.5,549.4,6.7,131.3,10.5,118.6,19.6,, ,83,17.5,35,31,66,181,10,22,0,0,36,113,-1,28,5,128,152,46%,,,,,,,,,,
100,Alexis Lafrenière,Y,"LW,RW",37,NYR,24,$7.5,549.1,6.5,131.0,10.5,141.7,41.7,,+,84,18.6,29,39,68,199,11,21,0,0,38,93,1,29,5,13,33,27%,,,,,,,,,,
